"Date","Hispanic/Latinx","Other","Unknown","White"
2021-04-16,19.3710854264867,0,12.9140569509912,119.455026796668
2021-04-17,22.5995996642345,0,9.68554271324337,119.455026796668
2021-04-18,25.8281139019823,0,9.68554271324337,116.22651255892
2021-04-19,25.8281139019823,3.22851423774779,3.22851423774779,109.769484083425
2021-04-20,22.5995996642345,3.22851423774779,0,87.1698844191903
2021-04-21,22.5995996642345,3.22851423774779,0,77.4843417059469
2021-04-22,19.3710854264867,3.22851423774779,0,58.1132562794602
2021-04-23,16.1425711887389,3.22851423774779,3.22851423774779,54.8847420417124
2021-04-24,9.68554271324337,3.22851423774779,3.22851423774779,41.9706850907213
2021-04-25,6.45702847549558,3.22851423774779,3.22851423774779,41.9706850907213
2021-04-26,3.22851423774779,0,3.22851423774779,45.199199328469
2021-04-27,3.22851423774779,0,3.22851423774779,51.6562278039646
2021-04-28,6.45702847549558,0,3.22851423774779,48.4277135662168
2021-04-29,9.68554271324337,0,3.22851423774779,58.1132562794602
2021-04-30,6.45702847549558,0,0,51.6562278039646
2021-05-01,6.45702847549558,0,0,51.6562278039646
2021-05-02,6.45702847549558,0,0,45.199199328469
2021-05-03,6.45702847549558,0,0,38.7421708529735
2021-05-04,6.45702847549558,3.22851423774779,0,25.8281139019823
2021-05-05,3.22851423774779,3.22851423774779,3.22851423774779,32.2851423774779
2021-05-06,0,3.22851423774779,3.22851423774779,25.8281139019823
2021-05-07,3.22851423774779,3.22851423774779,3.22851423774779,35.5136566152257
2021-05-08,9.68554271324337,3.22851423774779,3.22851423774779,35.5136566152257
2021-05-09,9.68554271324337,3.22851423774779,3.22851423774779,32.2851423774779
2021-05-10,16.1425711887389,3.22851423774779,9.68554271324337,38.7421708529735
2021-05-11,19.3710854264867,0,9.68554271324337,35.5136566152257
2021-05-12,29.0566281397301,0,6.45702847549558,29.0566281397301
2021-05-13,32.2851423774779,0,6.45702847549558,25.8281139019823
2021-05-14,29.0566281397301,0,6.45702847549558,19.3710854264867
2021-05-15,22.5995996642345,0,6.45702847549558,16.1425711887389
2021-05-16,25.8281139019823,0,6.45702847549558,19.3710854264867
2021-05-17,25.8281139019823,0,3.22851423774779,16.1425711887389
2021-05-18,22.5995996642345,0,3.22851423774779,12.9140569509912
2021-05-19,16.1425711887389,0,3.22851423774779,29.0566281397301
2021-05-20,12.9140569509912,0,3.22851423774779,32.2851423774779
2021-05-21,12.9140569509912,0,3.22851423774779,32.2851423774779
2021-05-22,12.9140569509912,0,3.22851423774779,41.9706850907213
2021-05-23,9.68554271324337,0,6.45702847549558,38.7421708529735
2021-05-24,3.22851423774779,0,3.22851423774779,35.5136566152257
2021-05-25,3.22851423774779,0,3.22851423774779,35.5136566152257
2021-05-26,0,0,3.22851423774779,16.1425711887389
2021-05-27,0,0,3.22851423774779,12.9140569509912
2021-05-28,0,0,3.22851423774779,9.68554271324337
2021-05-29,0,0,3.22851423774779,0
2021-05-30,0,0,0,3.22851423774779
2021-05-31,0,0,0,3.22851423774779
2021-06-01,0,0,0,6.45702847549558
2021-06-02,0,0,0,9.68554271324337
2021-06-03,0,0,0,9.68554271324337
2021-06-04,0,0,0,12.9140569509912
2021-06-05,0,0,0,12.9140569509912
2021-06-06,0,0,0,9.68554271324337
2021-06-07,0,0,0,9.68554271324337
2021-06-08,0,0,0,6.45702847549558
2021-06-09,0,0,0,3.22851423774779
2021-06-10,0,0,0,3.22851423774779
