"Fecha","hispano/latinx","otro","blanco"
2020-11-24,35.5136566152257,829.728159101182,329.308452250274
2020-11-23,48.4277135662168,836.185187576677,326.079938012527
2020-11-22,58.1132562794602,820.042616387938,322.851423774779
2020-11-21,71.0273132304514,852.327758765416,345.451023439013
2020-11-20,90.3983986569381,832.956673338929,384.193194291987
2020-11-19,90.3983986569381,807.128559436947,380.964680054239
2020-11-18,103.312455607929,823.271130625686,371.279137340996
2020-11-17,122.683541034416,790.985988248208,355.136566152257
2020-11-16,145.28314069865,713.501646542261,355.136566152257
2020-11-15,158.197197649642,665.073932976044,384.193194291987
2020-11-14,154.968683411894,629.560276360819,380.964680054239
2020-11-13,164.654226125137,645.702847549558,390.650222767482
2020-11-12,164.654226125137,639.245819074062,432.620907858204
2020-11-11,171.111254600633,603.732162458836,455.220507522438
2020-11-10,171.111254600633,590.818105507845,435.849422095951
2020-11-09,177.568283076128,555.30444889262,461.677535997934
2020-11-08,187.253825789372,552.075934654872,468.134564473429
2020-11-07,180.796797313876,493.962678375412,474.591592948925
2020-11-06,161.425711887389,451.99199328469,487.505649899916
2020-11-05,180.796797313876,455.220507522438,516.562278039646
2020-11-04,164.654226125137,393.87873700523,503.648221088655
2020-11-03,164.654226125137,390.650222767482,545.618906179376
2020-11-02,154.968683411894,374.507651578743,545.618906179376
2020-11-01,148.511654936398,364.8221088655,568.218505843611
2020-10-31,177.568283076128,364.8221088655,600.503648221089
2020-10-30,174.339768838381,326.079938012527,581.132562794602
2020-10-29,200.167882740363,287.337767159553,552.075934654872
2020-10-28,190.48234002712,274.423710208562,513.333763801898
2020-10-27,196.939368502615,258.281139019823,519.790792277394
2020-10-26,193.710854264867,245.367082068832,503.648221088655
