"Vaccination Date","Dose 1"
"03/04/2021",12
"03/05/2021",762
"03/06/2021",35
"03/07/2021",14
"03/08/2021",5
"03/09/2021",4
"03/10/2021",5
"03/11/2021",3
"03/12/2021",4
"03/15/2021",5
"03/16/2021",3
"03/17/2021",5
"03/18/2021",1
"03/19/2021",6
"03/20/2021",3
"03/23/2021",426
"03/24/2021",3
"03/25/2021",3
"03/26/2021",12
"03/29/2021",1
"03/30/2021",9
"03/31/2021",100
"04/01/2021",11
"04/02/2021",4
"04/03/2021",68
"04/04/2021",7
"04/05/2021",23
"04/06/2021",17
"04/07/2021",139
"04/08/2021",39
"04/09/2021",206
"04/10/2021",16
"04/11/2021",4
"04/12/2021",97
"04/15/2021",0
"04/28/2021",36
"04/29/2021",1
"04/30/2021",31
"05/01/2021",5
"05/02/2021",3
"05/03/2021",3
"05/05/2021",7
"05/06/2021",2
"05/07/2021",2
"05/08/2021",16
"05/09/2021",6
"05/11/2021",3
"05/12/2021",3
"05/13/2021",7
"05/14/2021",8
"05/15/2021",24
"05/16/2021",92
"05/17/2021",21
"05/18/2021",6
"05/19/2021",7
"05/20/2021",1
"05/21/2021",2
"05/22/2021",8
"05/23/2021",6
"05/24/2021",5
"05/25/2021",4
"05/26/2021",11
"05/27/2021",20
"05/28/2021",37
"05/29/2021",2
"05/30/2021",7
"05/31/2021",4
"06/01/2021",6
"06/02/2021",6
"06/04/2021",3
"06/05/2021",6
"06/07/2021",4
