"Fecha","Porcentaje de pruebas positivas durante los 7 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
2021-04-17,5.75471698113208,0,5,7.5,10,20
2021-04-16,6.03960396039604,0,5,7.5,10,20
2021-04-15,6.5238558909445,0,5,7.5,10,20
2021-04-14,7.26141078838174,0,5,7.5,10,20
2021-04-13,8.46456692913386,0,5,7.5,10,20
2021-04-12,8.42696629213483,0,5,7.5,10,20
2021-04-11,8.39532412327311,0,5,7.5,10,20
2021-04-10,8.27300930713547,0,5,7.5,10,20
2021-04-09,8.62068965517241,0,5,7.5,10,20
2021-04-08,8.94874022589053,0,5,7.5,10,20
2021-04-07,8.96825396825397,0,5,7.5,10,20
2021-04-06,8.31477357089829,0,5,7.5,10,20
2021-04-05,9.11127707244212,0,5,7.5,10,20
2021-04-04,8.95848506919155,0,5,7.5,10,20
2021-04-03,9.86887508626639,0,5,7.5,10,20
2021-04-02,9.77443609022556,0,5,7.5,10,20
2021-04-01,9.69131371141421,0,5,7.5,10,20
2021-03-31,10.2908277404922,0,5,7.5,10,20
2021-03-30,10.6772908366534,0,5,7.5,10,20
2021-03-29,10.16,0,5,7.5,10,20
2021-03-28,10.1670297748729,0,5,7.5,10,20
2021-03-27,9.72338642078793,0,5,7.5,10,20
2021-03-26,9.8116169544741,0,5,7.5,10,20
2021-03-25,9.16666666666667,0,5,7.5,10,20
2021-03-24,8.43989769820972,0,5,7.5,10,20
2021-03-23,8.046875,0,5,7.5,10,20
2021-03-22,7.59493670886076,0,5,7.5,10,20
2021-03-21,7.65724703737466,0,5,7.5,10,20
2021-03-20,7.46812386156649,0,5,7.5,10,20
2021-03-19,6.82210708117444,0,5,7.5,10,20
2021-03-18,6.59432387312187,0,5,7.5,10,20
2021-03-17,6.50263620386643,0,5,7.5,10,20
2021-03-16,6.0515873015873,0,5,7.5,10,20
2021-03-15,5.85585585585586,0,5,7.5,10,20
2021-03-14,5.02325581395349,0,5,7.5,10,20
2021-03-13,5.11316010058676,0,5,7.5,10,20
2021-03-12,4.72573839662447,0,5,7.5,10,20
2021-03-11,3.93835616438356,0,5,7.5,10,20
2021-03-10,4.04380791912384,0,5,7.5,10,20
2021-03-09,3.96270396270396,0,5,7.5,10,20
2021-03-08,3.49854227405248,0,5,7.5,10,20
2021-03-07,3.95042602633617,0,5,7.5,10,20
2021-03-06,3.88127853881279,0,5,7.5,10,20
2021-03-05,3.73191165270373,0,5,7.5,10,20
2021-03-04,4.43458980044346,0,5,7.5,10,20
2021-03-03,3.90567428150332,0,5,7.5,10,20
2021-03-02,4.48859455481972,0,5,7.5,10,20
2021-03-01,4.96124031007752,0,5,7.5,10,20
2021-02-28,5.09977827050998,0,5,7.5,10,20
2021-02-27,5.27974783293932,0,5,7.5,10,20
2021-02-26,5.3948397185301,0,5,7.5,10,20
2021-02-25,5.11006289308176,0,5,7.5,10,20
2021-02-24,5.27086383601757,0,5,7.5,10,20
2021-02-23,4.45402298850575,0,5,7.5,10,20
2021-02-22,5.04371217215871,0,5,7.5,10,20
2021-02-21,4.82708933717579,0,5,7.5,10,20
