"Fecha","hispano/latinx","otro","desconocido","blanco"
2021-03-27,32.2851423774779,22.5995996642345,77.4843417059469,245.367082068832
2021-03-26,35.5136566152257,22.5995996642345,64.5702847549558,264.738167495319
2021-03-25,41.9706850907213,22.5995996642345,71.0273132304514,280.880738684058
2021-03-24,32.2851423774779,22.5995996642345,83.9413701814425,274.423710208562
2021-03-23,35.5136566152257,16.1425711887389,61.341770517208,277.65222444631
2021-03-22,41.9706850907213,19.3710854264867,71.0273132304514,313.165881061536
2021-03-21,35.5136566152257,16.1425711887389,51.6562278039646,277.65222444631
2021-03-20,45.199199328469,16.1425711887389,51.6562278039646,293.794795635049
2021-03-19,41.9706850907213,9.68554271324337,48.4277135662168,264.738167495319
2021-03-18,35.5136566152257,6.45702847549558,38.7421708529735,238.910053593336
2021-03-17,38.7421708529735,6.45702847549558,25.8281139019823,245.367082068832
2021-03-16,35.5136566152257,6.45702847549558,29.0566281397301,245.367082068832
2021-03-15,32.2851423774779,3.22851423774779,19.3710854264867,203.396396978111
2021-03-14,29.0566281397301,3.22851423774779,19.3710854264867,196.939368502615
2021-03-13,16.1425711887389,3.22851423774779,19.3710854264867,196.939368502615
2021-03-12,16.1425711887389,3.22851423774779,19.3710854264867,196.939368502615
2021-03-11,16.1425711887389,3.22851423774779,19.3710854264867,167.882740362885
2021-03-10,12.9140569509912,3.22851423774779,22.5995996642345,158.197197649642
2021-03-09,6.45702847549558,3.22851423774779,16.1425711887389,142.054626460903
2021-03-08,9.68554271324337,0,9.68554271324337,161.425711887389
2021-03-07,9.68554271324337,0,12.9140569509912,177.568283076128
2021-03-06,12.9140569509912,0,9.68554271324337,164.654226125137
2021-03-05,9.68554271324337,0,12.9140569509912,135.597597985407
2021-03-04,22.5995996642345,0,9.68554271324337,145.28314069865
2021-03-03,32.2851423774779,0,6.45702847549558,125.912055272164
2021-03-02,32.2851423774779,3.22851423774779,6.45702847549558,119.455026796668
2021-03-01,25.8281139019823,12.9140569509912,9.68554271324337,119.455026796668
2021-02-28,32.2851423774779,12.9140569509912,6.45702847549558,116.22651255892
2021-02-27,35.5136566152257,16.1425711887389,6.45702847549558,106.540969845677
2021-02-26,51.6562278039646,16.1425711887389,3.22851423774779,125.912055272164
2021-02-25,38.7421708529735,19.3710854264867,6.45702847549558,109.769484083425
2021-02-24,32.2851423774779,25.8281139019823,12.9140569509912,129.140569509912
2021-02-23,32.2851423774779,22.5995996642345,16.1425711887389,142.054626460903
2021-02-22,41.9706850907213,16.1425711887389,22.5995996642345,148.511654936398
2021-02-21,38.7421708529735,16.1425711887389,22.5995996642345,145.28314069865
2021-02-20,35.5136566152257,16.1425711887389,22.5995996642345,164.654226125137
2021-02-19,25.8281139019823,19.3710854264867,25.8281139019823,151.740169174146
