"Zip Code","Number of Persons Fully Vaccinated","Number of 1-dose Pfizer Administered","Number of 2-dose Pfizer Administered","Number of 1-dose Modnerna Administered","Number of 2-dose Modnerna Administered","Number of 1-dose Janssen Administered"
54016,1,0,0,1,1,0
80003,1,0,0,2,1,0
80004,4,0,0,4,3,1
80005,4,2,1,2,2,1
80007,3,3,2,2,1,0
80010,1,0,0,1,1,0
80011,1,0,0,1,1,0
80014,3,1,0,3,2,1
80015,2,1,1,1,1,0
80016,2,0,0,2,2,0
80017,2,1,0,2,2,0
80019,0,1,0,0,0,0
80020,1,1,0,3,0,1
80021,2,4,1,3,1,0
80023,2,1,1,2,1,0
80026,1,2,0,0,0,1
80027,6,2,0,3,3,3
80031,1,0,0,2,1,0
80033,2,2,1,0,0,1
80104,1,0,0,2,1,0
80107,2,0,0,2,2,0
80108,3,2,2,0,0,1
80109,1,0,0,1,1,0
80111,5,3,2,2,2,1
80112,4,0,0,3,2,2
80120,5,2,2,5,3,0
80121,3,1,1,3,2,0
80122,6,1,1,3,2,3
80123,4,1,0,4,2,2
80124,3,3,0,1,0,3
80125,1,1,1,1,0,0
80126,6,1,1,5,4,1
80127,19,4,4,16,14,1
80128,2,0,0,4,2,0
80129,4,2,1,6,3,0
80130,0,0,0,1,0,0
80132,4,1,1,4,3,0
80133,1,1,1,0,0,0
80134,3,1,1,2,2,0
80135,1,1,0,1,1,0
80138,1,1,1,1,0,0
80202,7,5,3,5,4,0
80203,2,1,1,1,1,0
80204,3,0,0,4,3,0
80205,3,3,1,6,2,0
80206,7,2,2,9,4,1
80209,12,5,4,9,4,4
80210,5,7,1,6,2,2
80211,4,6,2,4,2,0
80212,4,3,2,2,1,1
80214,2,1,0,4,2,0
80215,1,1,0,1,1,0
80218,7,5,2,6,4,1
80220,6,5,3,4,3,0
80221,2,0,0,1,1,1
80222,0,2,0,1,0,0
80223,2,1,0,1,0,2
80224,1,0,0,1,1,0
80226,3,1,0,2,2,1
80227,2,0,0,4,2,0
80228,9,6,3,3,3,3
80229,1,1,0,1,1,0
80230,2,0,0,1,1,1
80231,1,1,1,0,0,0
80233,0,1,0,2,0,0
80234,0,1,0,1,0,0
80235,1,1,1,0,0,0
80237,1,1,1,0,0,0
80238,5,2,0,5,5,0
80239,0,0,0,1,0,0
80242,0,0,0,2,0,0
80246,3,2,2,2,1,0
80247,0,1,0,0,0,0
80249,0,0,0,2,0,0
80260,1,1,1,0,0,0
80301,4,2,1,3,3,0
80302,5,4,3,3,2,0
80303,4,1,1,2,2,1
80304,11,4,1,10,9,1
80305,4,3,0,3,3,1
80401,9,6,3,4,4,2
80403,9,7,1,8,7,1
80420,3,2,0,5,3,0
80421,1,0,0,2,1,0
80423,0,1,0,0,0,0
80424,2039,1356,558,1997,1075,406
80433,5,2,2,3,2,1
80434,1,0,0,0,0,1
80435,1427,896,399,1408,788,240
80437,1,0,0,1,1,0
80438,0,0,0,1,0,0
80439,10,6,1,8,6,3
80440,3,0,0,3,3,0
80442,1,1,1,0,0,0
80443,1076,618,307,983,624,145
80452,0,0,0,2,0,0
80459,2,1,0,2,1,1
80461,8,5,3,7,4,1
80465,3,2,1,2,1,1
80466,1,0,0,1,1,0
80470,1,0,0,1,1,0
80482,1,1,1,0,0,0
80487,1,1,1,0,0,0
80497,89,52,27,80,48,14
80498,1390,826,436,1294,772,182
80501,1,0,0,0,0,1
80503,1,1,1,1,0,0
80504,1,2,0,1,0,1
80516,2,2,2,1,0,0
80517,1,0,0,1,1,0
80521,4,2,1,5,3,0
80524,1,1,1,0,0,0
80525,6,1,1,2,2,3
80526,2,2,1,1,1,0
80528,1,2,0,0,0,1
80534,2,2,2,0,0,0
80536,0,1,0,0,0,0
80537,1,1,1,0,0,0
80540,0,0,0,1,0,0
80602,1,0,0,1,0,1
80620,1,0,0,1,1,0
80621,0,0,0,1,0,0
80631,1,0,0,2,1,0
80634,1,1,1,1,0,0
80829,5,3,2,3,3,0
80863,0,0,0,1,0,0
80903,1,0,0,1,1,0
80904,4,2,2,2,2,0
80906,8,4,2,4,4,2
80909,0,2,0,0,0,0
80910,0,1,0,0,0,0
80918,2,0,0,2,2,0
80919,6,0,0,4,4,2
80920,0,0,0,1,0,0
80921,1,2,1,2,0,0
80922,2,0,0,1,0,2
80923,1,1,1,0,0,0
81005,1,1,1,0,0,0
81007,1,0,0,1,1,0
81008,1,0,0,0,0,1
81101,0,0,0,2,0,0
81201,1,1,1,0,0,0
81212,1,0,0,1,1,0
81230,1,0,0,1,1,0
81252,0,0,0,1,0,0
81301,3,1,1,1,1,1
81413,1,0,0,0,0,1
81416,1,0,0,1,1,0
81435,0,0,0,1,0,0
81501,0,0,0,1,0,0
81506,4,1,1,2,2,1
81507,1,1,1,0,0,0
81601,0,1,0,0,0,0
81611,1,0,0,2,0,1
81620,2,1,1,1,0,1
81623,3,1,1,2,1,1
81631,2,0,0,2,1,1
81632,3,1,0,2,2,1
81637,1,1,1,0,0,0
81657,4,2,1,1,1,2
81658,2,2,1,0,0,1
NA,387,167,73,319,188,126
