"Fecha","positivos nuevos por 100,000 personas en los 14 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
"2020-03-03",0,0,75,175,350,1359.20449409182
"2020-03-04",0,0,75,175,350,1359.20449409182
"2020-03-05",0,0,75,175,350,1359.20449409182
"2020-03-06",0,0,75,175,350,1359.20449409182
"2020-03-07",0,0,75,175,350,1359.20449409182
"2020-03-08",0,0,75,175,350,1359.20449409182
"2020-03-09",0,0,75,175,350,1359.20449409182
"2020-03-10",0,0,75,175,350,1359.20449409182
"2020-03-11",0,0,75,175,350,1359.20449409182
"2020-03-12",0,0,75,175,350,1359.20449409182
"2020-03-13",3.22851423774779,0,75,175,350,1359.20449409182
"2020-03-14",3.22851423774779,0,75,175,350,1359.20449409182
"2020-03-15",3.22851423774779,0,75,175,350,1359.20449409182
"2020-03-16",9.68554271324337,0,75,175,350,1359.20449409182
"2020-03-17",9.68554271324337,0,75,175,350,1359.20449409182
"2020-03-18",12.9140569509912,0,75,175,350,1359.20449409182
"2020-03-19",16.1425711887389,0,75,175,350,1359.20449409182
"2020-03-20",16.1425711887389,0,75,175,350,1359.20449409182
"2020-03-21",16.1425711887389,0,75,175,350,1359.20449409182
"2020-03-22",19.3710854264867,0,75,175,350,1359.20449409182
"2020-03-23",22.5995996642345,0,75,175,350,1359.20449409182
"2020-03-24",25.8281139019823,0,75,175,350,1359.20449409182
"2020-03-25",25.8281139019823,0,75,175,350,1359.20449409182
"2020-03-26",32.2851423774779,0,75,175,350,1359.20449409182
"2020-03-27",32.2851423774779,0,75,175,350,1359.20449409182
"2020-03-28",32.2851423774779,0,75,175,350,1359.20449409182
"2020-03-29",35.5136566152257,0,75,175,350,1359.20449409182
"2020-03-30",41.9706850907213,0,75,175,350,1359.20449409182
"2020-03-31",51.6562278039646,0,75,175,350,1359.20449409182
"2020-04-01",58.1132562794602,0,75,175,350,1359.20449409182
"2020-04-02",83.9413701814425,0,75,175,350,1359.20449409182
"2020-04-03",109.769484083425,0,75,175,350,1359.20449409182
"2020-04-04",116.22651255892,0,75,175,350,1359.20449409182
"2020-04-05",122.683541034416,0,75,175,350,1359.20449409182
"2020-04-06",145.28314069865,0,75,175,350,1359.20449409182
"2020-04-07",148.511654936398,0,75,175,350,1359.20449409182
"2020-04-08",164.654226125137,0,75,175,350,1359.20449409182
"2020-04-09",161.425711887389,0,75,175,350,1359.20449409182
"2020-04-10",177.568283076128,0,75,175,350,1359.20449409182
"2020-04-11",180.796797313876,0,75,175,350,1359.20449409182
"2020-04-12",180.796797313876,0,75,175,350,1359.20449409182
"2020-04-13",177.568283076128,0,75,175,350,1359.20449409182
"2020-04-14",167.882740362885,0,75,175,350,1359.20449409182
"2020-04-15",161.425711887389,0,75,175,350,1359.20449409182
"2020-04-16",148.511654936398,0,75,175,350,1359.20449409182
"2020-04-17",138.826112223155,0,75,175,350,1359.20449409182
"2020-04-18",135.597597985407,0,75,175,350,1359.20449409182
"2020-04-19",132.369083747659,0,75,175,350,1359.20449409182
"2020-04-20",106.540969845677,0,75,175,350,1359.20449409182
"2020-04-21",100.083941370181,0,75,175,350,1359.20449409182
