"Date","Rolling 14-Day Positive Cases Per 100,000","min","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk","Level Red: Severe Risk"
"2020-12-02",1142.89404016272,0,75,175,350,1284.94866662362
"2020-12-01",1284.94866662362,0,75,175,350,1284.94866662362
"2020-11-30",1265.57758119713,0,75,175,350,1284.94866662362
"2020-11-29",1207.46432491767,0,75,175,350,1284.94866662362
"2020-11-28",1201.00729644218,0,75,175,350,1284.94866662362
"2020-11-27",1159.03661135146,0,75,175,350,1284.94866662362
"2020-11-26",1197.77878220443,0,75,175,350,1284.94866662362
"2020-11-25",1233.29243881966,0,75,175,350,1284.94866662362
"2020-11-24",1226.83541034416,0,75,175,350,1284.94866662362
"2020-11-23",1194.55026796668,0,75,175,350,1284.94866662362
"2020-11-22",1191.32175372893,0,75,175,350,1284.94866662362
"2020-11-21",1204.23581067993,0,75,175,350,1284.94866662362
"2020-11-20",1146.12255440046,0,75,175,350,1284.94866662362
"2020-11-19",1097.69484083425,0,75,175,350,1284.94866662362
"2020-11-18",1149.35106863821,0,75,175,350,1284.94866662362
"2020-11-17",1062.18118421902,0,75,175,350,1284.94866662362
"2020-11-16",1100.923355072,0,75,175,350,1284.94866662362
"2020-11-15",1075.09524117001,0,75,175,350,1284.94866662362
"2020-11-14",1081.55226964551,0,75,175,350,1284.94866662362
"2020-11-13",1142.89404016272,0,75,175,350,1284.94866662362
"2020-11-12",1081.55226964551,0,75,175,350,1284.94866662362
"2020-11-11",1039.58158455479,0,75,175,350,1284.94866662362
"2020-11-10",978.23981403758,0,75,175,350,1284.94866662362
"2020-11-09",975.011299799832,0,75,175,350,1284.94866662362
"2020-11-08",942.726157422354,0,75,175,350,1284.94866662362
"2020-11-07",933.040614709111,0,75,175,350,1284.94866662362
"2020-11-06",894.298443856138,0,75,175,350,1284.94866662362
"2020-11-05",855.556273003164,0,75,175,350,1284.94866662362
"2020-11-04",803.900045199199,0,75,175,350,1284.94866662362
"2020-11-03",787.75747401046,0,75,175,350,1284.94866662362
"2020-11-02",716.730160780009,0,75,175,350,1284.94866662362
"2020-11-01",707.044618066766,0,75,175,350,1284.94866662362
"2020-10-31",629.560276360819,0,75,175,350,1284.94866662362
"2020-10-30",584.36107703235,0,75,175,350,1284.94866662362
"2020-10-29",571.447020081359,0,75,175,350,1284.94866662362
"2020-10-28",529.476334990637,0,75,175,350,1284.94866662362
"2020-10-27",519.790792277394,0,75,175,350,1284.94866662362
"2020-10-26",503.648221088655,0,75,175,350,1284.94866662362
"2020-10-25",474.591592948925,0,75,175,350,1284.94866662362
"2020-10-24",451.99199328469,0,75,175,350,1284.94866662362
"2020-10-23",416.478336669465,0,75,175,350,1284.94866662362
"2020-10-22",380.964680054239,0,75,175,350,1284.94866662362
"2020-10-21",355.136566152257,0,75,175,350,1284.94866662362
"2020-10-20",332.536966488022,0,75,175,350,1284.94866662362
"2020-10-19",322.851423774779,0,75,175,350,1284.94866662362
"2020-10-18",293.794795635049,0,75,175,350,1284.94866662362
"2020-10-17",290.566281397301,0,75,175,350,1284.94866662362
"2020-10-16",274.423710208562,0,75,175,350,1284.94866662362
"2020-10-15",274.423710208562,0,75,175,350,1284.94866662362
"2020-10-14",255.052624782075,0,75,175,350,1284.94866662362
"2020-10-13",235.681539355589,0,75,175,350,1284.94866662362
"2020-10-12",219.53896816685,0,75,175,350,1284.94866662362
"2020-10-11",193.710854264867,0,75,175,350,1284.94866662362
"2020-10-10",174.339768838381,0,75,175,350,1284.94866662362
"2020-10-09",180.796797313876,0,75,175,350,1284.94866662362
"2020-10-08",180.796797313876,0,75,175,350,1284.94866662362
